area_k,PropType,SpecArea,PresentUse,kca_area,n,av_bn,av_share
82,R,,3,82,282,0.280546835702161,0.0424995782009682
82,R,,4,82,109,0.131929414893642,0.0199857698314333
82,R,,6,82,73,0.0668555636526723,0.0101278392554854
82,R,,309,82,7,0.011789,0.00178589619860523
82,R,,20,82,5,0.00433649856765987,0.00065692902767332
82,R,,301,82,3,0.003724,0.000564142628179308
82,R,,300,82,23,0.00288712462045141,0.00043736575490404
82,R,,5,82,1,0.001308,0.000198146766288543
82,R,,180,82,1,0.000857,0.000129825518890888
82,R,,0,82,4,0.0007249,0.000109813907402573
82,R,,149,82,3,0.00000000740493291040778,0.0000000011217610938692
