mode,track,kind,level,key,n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,scenario,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name,err_total,err_land,err_imps,miss_usd,n_parcels_all,av_base_all,coverage_ratio,coverage_basis,count_ratio,coverage_flag,cell_type,cell_label,actual_scope,mode_lab,pred_total_baseline,pred_total_optimistic,pred_total_pessimistic,pred_total_min,pred_total_max,scen_inverted,spec_root,tiny,in_summary,is_primary
model_rows,res,geo,area,13,5,4572000,-0.342760279965005,-0.00500000000000078,-1,0,1,anchored,baseline,-0.005,,,1407200,,,,-0.337760279965005,,,-1544240,6800,9306611472.88425,0.972583381358502,panel mean AV / report mean AV,,FALSE,Residential area,Res 13,area report,Model-sourced parcels (anchored run),-0.342760279965005,,,-0.342760279965005,-0.342760279965005,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,48,10,7521000,-0.331702153968887,-0.00700000000000012,-1,0,1,anchored,baseline,-0.007,,,928500,,,,-0.324702153968887,,,-2442084.9,6030,5405012666.0168,0.965378218585193,panel mean AV / report mean AV,,FALSE,Residential area,Res 48,area report,Model-sourced parcels (anchored run),-0.331702153968887,,,-0.331702153968887,-0.331702153968887,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,43,8,7249900,-0.320251534503924,-0.00399999999999956,-1,0,1,anchored,baseline,-0.004,,,1138300,,,,-0.316251534503924,,,-2292792,8079,8982109811.53601,0.97670636127383,panel mean AV / report mean AV,,FALSE,Residential area,Res 43,area report,Model-sourced parcels (anchored run),-0.320251534503924,0.0314256522175804,0.0249364520980635,-0.320251534503924,0.0314256522175804,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,19,8,4955000,-0.31706316851665,-0.0139999999999999,-1,0,1,anchored,baseline,-0.014,,,974200,,,,-0.30306316851665,,,-1501678,6774,6437712703.3095,0.975524708623542,panel mean AV / report mean AV,,FALSE,Residential area,Res 19,area report,Model-sourced parcels (anchored run),-0.31706316851665,0.0341547909053974,0.0271850592371263,-0.31706316851665,0.0341547909053974,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,82,5,3196000,-0.309933354192741,-0.00700000000000045,-1,0,1,anchored,baseline,-0.007,,,957000,,,,-0.302933354192741,,,-968175.000000001,7047,6601167531.01728,0.978823856215637,panel mean AV / report mean AV,,FALSE,Residential area,Res 82,area report,Model-sourced parcels (anchored run),-0.309933354192741,0.0337061131336567,0.0319013170818343,-0.309933354192741,0.0337061131336567,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,16,16,9920000,-0.227688508064516,-0.0149999999999997,-1,0,1,anchored,baseline,-0.015,,,1196100,,,,-0.212688508064516,,,-2109870,6898,7578899462.05852,0.918576785354872,panel mean AV / report mean AV,,FALSE,Residential area,Res 16,area report,Model-sourced parcels (anchored run),-0.227688508064516,,,-0.227688508064516,-0.227688508064516,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,8,8,6195500,-0.195478492454201,-0.00600000000000001,-1,0,1,anchored,baseline,-0.006,,,1141700,,,,-0.189478492454201,,,-1173914,5217,5268620159.42099,0.884553390544338,panel mean AV / report mean AV,,FALSE,Residential area,Res 8,area report,Model-sourced parcels (anchored run),-0.195478492454201,0.0347066291019511,0.0242023888404745,-0.195478492454201,0.0347066291019511,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,44,5,4122000,-0.214325570111596,-0.0260000000000001,-1,0,1,anchored,baseline,-0.026,,,1167200,,,,-0.188325570111596,,,-776278.000000001,4753,5420187190.77067,0.977014912044057,panel mean AV / report mean AV,,FALSE,Residential area,Res 44,area report,Model-sourced parcels (anchored run),-0.214325570111596,0.0401383121160428,0.0326453938936038,-0.214325570111596,0.0401383121160428,FALSE,,TRUE,FALSE,TRUE
model_rows,res,geo,area,12,13,11149200,-0.185540756287447,-0.00500000000000056,-1,0,1,anchored,baseline,-0.005,,,1416100,,,,-0.180540756287447,,,-2012885.00000001,7018,9666019384.60342,0.972613683087781,panel mean AV / report mean AV,,FALSE,Residential area,Res 12,area report,Model-sourced parcels (anchored run),-0.185540756287447,,,-0.185540756287447,-0.185540756287447,,,TRUE,FALSE,TRUE
model_rows,res,geo,area,6,15,9031900,-0.206524142207066,-0.0259999999999997,-1,0,1,anchored,baseline,-0.026,,,784800,,,,-0.180524142207066,,,-1630476,9492,7209757934.67759,0.967840874889546,panel mean AV / report mean AV,,FALSE,Residential area,Res 6,area report,Model-sourced parcels (anchored run),-0.206524142207066,0.0319640221348616,0.0199820261302834,-0.206524142207066,0.0319640221348616,FALSE,,TRUE,FALSE,TRUE
